Date,Rainfall,Sunshine,Humidity,Temp_mean,Temp_max,Temp_min,Year,Month
2021-04-01,0.0,11.359654629629631,66.0,29.233333333333334,39.6,23.0,2021,4
2021-04-02,0.0,10.511477777777777,64.0,28.766666666666666,39.0,21.6,2021,4
2021-04-03,0.0,11.69646111111111,50.333333333333336,29.46666666666667,39.1,20.0,2021,4
2021-04-04,0.5333333333333333,11.483559259259259,42.333333333333336,29.7,39.4,20.2,2021,4
2021-04-05,0.0,11.738998148148147,36.666666666666664,29.5,38.2,20.6,2021,4
2021-04-06,0.0,11.760181481481482,49.666666666666664,28.8,37.8,20.6,2021,4
2021-04-07,0.0,11.781288888888888,61.0,28.433333333333337,37.3,21.2,2021,4
2021-04-08,0.0,11.677666666666667,66.0,28.166666666666668,38.4,22.1,2021,4
2021-04-09,0.7666666666666666,11.821935185185184,63.333333333333336,28.46666666666667,39.2,22.7,2021,4
2021-04-10,0.0,11.811785185185187,65.66666666666667,28.333333333333332,37.7,22.7,2021,4
2021-04-11,0.0,11.853587962962962,61.666666666666664,29.900000000000002,38.7,23.1,2021,4
2021-04-12,0.0,11.554691666666665,54.666666666666664,30.233333333333334,39.6,22.2,2021,4
2021-04-13,0.0,11.72827962962963,56.0,29.900000000000002,40.1,22.1,2021,4
2021-04-14,0.0,11.90039537037037,59.666666666666664,30.03333333333333,40.8,21.9,2021,4
2021-04-15,0.0,11.914342592592591,58.333333333333336,30.333333333333332,40.4,22.4,2021,4
2021-04-16,0.0,11.455627777777778,62.0,28.96666666666667,39.5,23.5,2021,4
2021-04-17,0.03333333333333333,11.464164814814815,63.0,28.933333333333334,38.4,22.3,2021,4
2021-04-18,0.0,11.807610185185185,63.333333333333336,29.0,37.9,22.6,2021,4
2021-04-19,0.0,11.634892592592593,64.33333333333333,29.566666666666666,39.0,23.6,2021,4
2021-04-20,0.0,11.45130925925926,65.66666666666667,29.866666666666664,40.2,22.8,2021,4
2021-04-21,0.0,11.61341851851852,61.666666666666664,30.400000000000002,40.1,23.6,2021,4
2021-04-22,0.06666666666666667,11.519206481481481,61.0,29.733333333333334,38.6,24.0,2021,4
2021-04-23,0.0,11.978102777777778,41.0,31.166666666666668,40.3,24.1,2021,4
2021-04-24,0.0,11.976277777777776,32.666666666666664,31.8,41.1,22.9,2021,4
2021-04-25,0.0,11.997625,41.333333333333336,32.13333333333333,41.2,22.0,2021,4
2021-04-26,0.0,12.00337962962963,53.333333333333336,31.53333333333333,42.2,22.8,2021,4
